,UniqueID,airline,origin,destination,departure_time,Arrival_time,price,flights,DepartureDate,SearchDate
63,1_2025-12-06_2025-10-03,UA,IAH,LAX,2025-12-06 16:30:00,2025-12-06 18:10:00,107.64,['1743'],2025-12-06,2025-10-03
64,1_2025-12-06_2025-10-04,UA,IAH,LAX,2025-12-06 16:30:00,2025-12-06 18:10:00,77.56,['1743'],2025-12-06,2025-10-04
65,1_2025-12-06_2025-10-05,UA,IAH,LAX,2025-12-06 16:30:00,2025-12-06 18:10:00,77.56,['1743'],2025-12-06,2025-10-05
66,1_2025-12-07_2025-10-03,UA,IAH,LAX,2025-12-07 05:42:00,2025-12-07 07:30:00,107.64,['2431'],2025-12-07,2025-10-03
67,1_2025-12-07_2025-10-04,UA,IAH,LAX,2025-12-07 05:42:00,2025-12-07 07:30:00,77.56,['2431'],2025-12-07,2025-10-04
68,1_2025-12-07_2025-10-05,UA,IAH,LAX,2025-12-07 05:42:00,2025-12-07 07:30:00,77.56,['2431'],2025-12-07,2025-10-05
69,1_2025-12-08_2025-10-03,UA,IAH,LAX,2025-12-08 14:30:00,2025-12-08 16:15:00,107.64,['1945'],2025-12-08,2025-10-03
70,1_2025-12-08_2025-10-04,UA,IAH,LAX,2025-12-08 05:42:00,2025-12-08 07:30:00,77.56,['2431'],2025-12-08,2025-10-04
71,1_2025-12-08_2025-10-05,UA,IAH,LAX,2025-12-08 14:30:00,2025-12-08 16:15:00,77.56,['1945'],2025-12-08,2025-10-05
72,1_2025-12-09_2025-10-03,UA,IAH,LAX,2025-12-09 16:30:00,2025-12-09 18:10:00,107.64,['1743'],2025-12-09,2025-10-03
73,1_2025-12-09_2025-10-04,UA,IAH,LAX,2025-12-09 16:30:00,2025-12-09 18:10:00,77.56,['1743'],2025-12-09,2025-10-04
74,1_2025-12-09_2025-10-05,UA,IAH,LAX,2025-12-09 16:30:00,2025-12-09 18:10:00,77.56,['1743'],2025-12-09,2025-10-05
75,1_2025-12-10_2025-10-03,UA,IAH,LAX,2025-12-10 16:30:00,2025-12-10 18:10:00,107.64,['1743'],2025-12-10,2025-10-03
76,1_2025-12-10_2025-10-04,UA,IAH,LAX,2025-12-10 16:30:00,2025-12-10 18:10:00,77.56,['1743'],2025-12-10,2025-10-04
77,1_2025-12-10_2025-10-05,UA,IAH,LAX,2025-12-10 16:30:00,2025-12-10 18:10:00,77.56,['1743'],2025-12-10,2025-10-05
78,1_2025-12-11_2025-10-03,UA,IAH,LAX,2025-12-11 16:30:00,2025-12-11 18:10:00,107.64,['1743'],2025-12-11,2025-10-03
